id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender
482,Одарка,Уманець,2004-07-10,36,6,1,Female
483,Спас,Калениченко,1996-06-06,6,1,4,Male
484,Гліб,Опанасенко,1993-04-30,27,6,4,Male
485,Болеслав,Давиденко,2000-04-23,10,5,7,Male
486,Богодар,Теліженко,1994-05-05,20,0,7,Male
487,Венедикт,Забара,2007-03-10,42,0,8,Male
488,Єлисавета,Фурс,1993-12-04,9,10,1,Female
489,Єва,Сірко,2006-07-07,43,3,5,Female
490,Олена,Рак,2008-06-14,91,5,10,Female
491,Мирослав,Швайка,1999-10-11,84,10,3,Male
492,Аліна,Шамрай,1993-03-15,20,2,8,Female
493,Арсен,Гук,2004-08-18,56,9,1,Male
494,Климент,Іваненко,2007-11-06,41,7,10,Male
495,Анастасія,Петлюра,1995-09-02,67,6,6,Female
496,Пармен,Гайдабура,2008-03-24,57,9,2,Male
497,Гліб,Захаренко,2001-06-26,96,8,6,Male
498,Варвара,Килимник,1999-06-01,50,4,2,Female
499,Єва,Демʼяненко,2002-12-25,99,5,3,Female
500,Геннадій,Назаренко,1997-11-05,40,9,4,Male
501,Ярослава,Ємельяненко,2008-08-29,100,7,8,Female
502,Артем,Височан,2008-10-16,76,0,7,Male
503,Єлисей,Пелех,2000-03-09,28,0,4,Male
504,Демид,Сімашкевич,1995-01-09,17,7,2,Male
505,Ярина,Ніколюк,1999-01-12,35,6,8,Female
506,Орина,Ящук,2005-09-08,29,10,7,Female
507,Едуард,Єфименко,2003-06-26,25,3,8,Male
508,Климент,Талан,1998-09-15,70,1,8,Male
509,Михайлина,Скоробогатько,2006-04-06,73,1,9,Female
510,Захар,Єресько,1996-05-05,37,3,6,Male
511,Оксана,Бабко,2007-07-30,62,3,10,Female
512,Борис,Їжак,2004-05-02,99,2,5,Male
513,Мирослав,Цюпа,1993-12-21,63,0,10,Male
514,Данило,Демʼянюк,2006-09-11,51,8,3,Male
515,Петро,Бабиченко,1994-06-13,80,9,9,Male
516,Лариса,Цибуленко,1995-01-06,96,3,0,Female
517,Розалія,Чуприна,1999-03-12,72,3,4,Female
518,Онисим,Редько,1993-10-28,91,8,10,Male
519,Тимофій,Ребрик,1994-07-02,28,5,9,Male
520,Остап,Михайличенко,2001-11-05,63,9,8,Male
521,Віолетта,Журавель,1995-10-05,75,10,0,Female
522,Едуард,Вівчаренко,1995-12-12,33,8,10,Male
523,Святослав,Ажажа,2004-06-24,6,0,2,Male
524,Ярослава,Бабиченко,2008-06-27,91,3,7,Female
525,Володимир,Скопенко,2008-08-02,91,6,1,Male
526,Орися,Перебийніс,1998-01-31,5,10,4,Female
527,Єфрем,Батюк,2004-01-22,91,7,1,Male
528,Василина,Голик,1998-05-02,46,2,10,Female
529,Валентин,Заїка,1997-01-28,76,5,9,Male
530,Одарка,Пилипенко,1997-02-28,31,10,2,Female
531,Микита,Жук,1995-04-23,61,4,3,Male
532,Захар,Щорс,2006-01-07,22,10,5,Male
533,Любов,Масляк,1993-06-07,73,6,5,Female
534,Володимира,Пушкар,1995-08-30,73,2,8,Female
535,Юстим,Юрчишин,2002-06-10,8,2,1,Male
536,Данна,Дараган,2005-06-15,54,9,9,Female
537,Віталій,Єременко,2007-03-17,34,10,8,Male
538,Любов,Яремко,2008-03-05,9,3,8,Female
539,Стефан,Хмара,1995-12-28,84,2,2,Male
540,Богуслав,Вдовиченко,2000-09-22,87,4,10,Male
541,Тетяна,Цюцюра,2004-03-09,49,3,7,Female
542,Аніта,Сацюк,1997-12-31,63,6,10,Female
543,Руслан,Пʼятаченко,1998-03-03,99,4,4,Male
544,Нестор,Забара,2009-02-28,51,1,4,Male
545,Варвара,Оробець,1999-02-23,80,2,9,Female
546,Мілена,Кащенко,2003-08-15,84,5,4,Female
547,Левко,Гаврилів,2007-05-02,14,0,0,Male
548,Тарас,Засенко,1998-09-29,33,9,7,Male
549,Анжела,Ємець,2006-10-13,59,10,1,Female
550,Леонід,Жадан,1995-12-01,47,10,4,Male
551,Едита,Жарко,2000-05-19,51,5,3,Female
552,Орися,Воблий,2001-06-15,47,0,5,Female
553,Мирослав,Царенко,1994-09-02,9,6,9,Male
554,Михайлина,Щорс,2008-08-27,31,7,7,Female
555,Василь,Мамчур,1997-10-31,85,9,7,Male
556,Амалія,Притула,2008-05-10,84,8,8,Female
557,Ліза,Устенко,2008-10-15,50,6,10,Female
558,Маруся,Гаврилишин,2003-12-10,20,5,7,Female
559,Левко,Каденюк,1999-01-04,79,6,9,Male
560,Ірина,Гайдамака,2000-12-11,40,9,3,Female
561,Єва,Парасюк,2001-12-16,41,7,3,Female
562,Леонід,Хомик,2004-07-14,71,2,10,Male
563,Трохим,Павленко,2000-04-04,75,2,6,Male
564,Едуард,Чарниш,2002-08-06,90,7,2,Male
565,Дарина,Давиденко,1993-04-11,16,7,1,Female
566,Володимира,Притула,2003-10-23,4,9,1,Female
567,Ада,Яценко,2002-07-16,30,1,4,Female
568,Орест,Ярема,1995-04-12,32,9,3,Male
569,Геннадій,Аверченко,1995-10-21,94,10,3,Male
570,Альбіна,Радченко,2000-09-23,73,9,0,Female
571,Лілія,Івасюк,1993-11-26,82,3,5,Female
572,Хома,Данченко,2000-11-16,41,4,7,Male
573,Вікторія,Петренко,1996-02-20,90,1,9,Female
574,Леопольд,Михалюк,2001-01-03,12,2,5,Male
575,Галина,Тихий,1994-05-08,34,7,10,Female
576,Людмила,Гречаник,1996-10-20,99,4,8,Female
577,Марта,Гаєвський,1994-02-06,98,9,4,Female
578,Віталій,Журба,2005-10-09,71,8,2,Male
579,Наталія,Онищенко,2001-12-24,51,3,5,Female
580,Устим,Гоголь-Яновський,1997-11-12,32,5,8,Male
581,Петро,Ващенко,1993-06-28,78,10,10,Male
582,Любов,Артимишин,2006-05-02,93,3,5,Female
583,Антон,Венгринович,2005-04-29,67,5,2,Male
584,Маруся,Величко,2004-06-29,12,5,3,Female
585,Данило,Фаренюк,2007-02-03,66,5,7,Male
586,Веніямин,Приймак,1998-06-11,8,3,8,Male
587,Лукʼян,Нестеренко,2008-04-16,76,4,3,Male
588,Оксана,Ярема,1993-12-15,44,9,0,Female
589,Лесь,Каденюк,2006-12-20,57,3,8,Male
590,Розалія,Ємець,1999-10-03,48,10,7,Female
591,Дарина,Шинкаренко,1994-03-22,21,8,5,Female
592,Сніжана,Носенко,2004-11-23,49,3,0,Female
593,Василь,Остапчук,2007-02-19,14,4,6,Male
594,Леон,Лаба,1998-12-24,44,1,6,Male
595,Валентина,Кабаненко,1999-04-13,47,6,10,Female
596,Одарка,Забашта,2006-06-28,90,0,4,Female
597,Валерій,Заїка,1995-03-31,35,2,8,Male
598,Володимир,Дашкевич,2003-12-08,36,0,0,Male
599,Єва,Хмара,2005-08-03,15,0,2,Female
600,Марко,Асаула,1995-05-11,48,7,0,Male
601,Володимир,Дубас,2006-10-10,6,5,6,Male
602,Стефан,Заєць,2006-05-12,22,6,10,Male
603,Едуард,Швачко,1997-07-31,67,6,2,Male
604,Азар,Проценко,1998-11-29,81,9,9,Male
605,Володимира,Назаренко,1994-10-22,10,6,1,Female
606,Соломія,Шведченко,2001-09-23,71,8,3,Female
607,Охрім,Ґалаґан,1997-01-09,95,6,2,Male
608,Сніжана,Юрчук,1999-11-29,24,10,5,Female
609,Михайлина,Шелест,2005-09-16,64,7,0,Female
610,Емілія,Єременко,2000-07-13,90,4,7,Female
611,Вʼячеслав,Андріїшин,1994-04-04,58,6,6,Male
612,Орхип,Деркач,2000-05-09,30,10,5,Male
613,Богданна,Царенко,2007-04-24,44,6,3,Female
614,Вʼячеслав,Якименко,2004-09-08,89,1,3,Male
615,Варфоломій,Корбут,2001-08-15,16,9,4,Male
616,Ілля,Євтушок,2000-11-13,11,6,1,Male
617,Емілія,Шовкопляс,1997-07-07,15,7,6,Female
618,Георгій,Затула,2003-10-20,89,9,8,Male
619,Гордій,Опанасенко,2008-07-30,48,8,3,Male
620,Володимира,Чайка,2006-07-26,13,7,5,Female
621,Клавдія,Бабиченко,2005-01-19,45,0,0,Female
622,Зорян,Устенко,2007-10-12,13,3,2,Male
623,Антон,Короленко,2001-08-23,52,4,10,Male
624,Опанас,Мазур,1999-12-27,41,2,4,Male
625,Аніта,Лубенець,2008-11-05,48,9,9,Female
626,Пантелеймон,Василечко,2004-12-30,62,0,8,Male
627,Франц,Оніщук,1998-06-26,97,6,2,Male
628,Сергій,Жарко,1993-12-01,94,5,1,Male
629,Орися,Рудько,2002-06-13,29,6,10,Female
630,Клавдія,Василечко,1999-03-20,34,7,9,Female
631,Світлана,Зінчук,1999-04-24,28,8,0,Female
632,Зорян,Дацюк,2009-03-11,15,6,10,Male
633,Зорян,Дробʼязко,1997-05-20,51,4,8,Male
634,Богуслава,Скирда,2000-08-29,66,5,3,Female
635,Дарина,Якименко,1994-11-22,100,2,0,Female
636,Давид,Назаренко,1993-11-28,84,0,4,Male
637,Герман,Вакарчук,2006-11-22,90,2,8,Male
638,Віолетта,Худобʼяк,2008-06-30,2,7,0,Female
639,Аліна,Тягнибок,1997-05-13,65,10,10,Female
640,Іван,Аверченко,1993-09-04,77,1,4,Male
641,Тетяна,Дуплій,2003-09-18,69,7,8,Female
642,Лесь,Шеремет,2008-04-04,6,0,5,Male
643,Аліна,Медведенко,1997-02-24,43,2,5,Female
644,Юхим,Філіпенко,2008-05-15,27,1,0,Male
645,Болеслав,Калениченко,2008-06-25,52,8,9,Male
646,Наталія,Артимишин,1995-10-18,15,7,7,Female
647,Борис,Охримович,2008-12-11,10,3,5,Male
648,Симон,Шиян,2005-06-22,18,1,10,Male
649,Емілія,Тригуб,2006-04-30,27,8,4,Female
650,Любов,Ярош,1997-12-18,39,0,3,Female
651,Надія,Адаменко,1995-07-07,31,9,9,Female
652,Марко,Андрієвич,1999-06-12,74,5,10,Male
653,Ольга,Архипенко,2008-05-15,75,6,1,Female
654,Сніжана,Дробʼязко,2008-04-27,85,2,6,Female
655,Леонід,Скопенко,2007-09-05,42,3,3,Male
656,Маруся,Онуфрієнко,1995-02-08,83,2,1,Female
657,Георгій,Лубенець,1997-10-12,13,8,0,Male
658,Соломія,Адамчук,2005-07-02,23,8,9,Female
659,Анжела,Асаула,1999-01-21,2,8,10,Female
660,Лариса,Шморгун,2009-02-16,98,3,7,Female
661,Камілла,Дараган,1993-04-04,37,3,1,Female
662,Охрім,Артюшенко,2006-04-04,59,7,2,Male
663,Віолетта,Гоголь,1997-05-25,77,5,5,Female
664,Тарас,Рубан,2007-07-04,6,0,5,Male
665,Панас,Непорожній,1997-11-20,30,10,0,Male
666,Спас,Тесля,2002-07-10,71,10,1,Male
667,Євген,Приходько,1998-02-16,61,2,4,Male
668,Леонід,Лавренко,1997-12-22,9,8,5,Male
669,Марʼяна,Масляк,1994-08-30,96,8,6,Female
670,Роксолана,Парасюк,1997-06-03,7,7,2,Female
671,Амалія,Якименко,1997-06-01,56,6,3,Female
672,Левко,Байрак,2006-09-18,100,10,6,Male
673,Єлисавета,Юрчишин,2007-11-08,98,7,10,Female
674,Аврелій,Михалюк,1999-06-27,23,7,10,Male
675,Гаврило,Шведченко,2003-09-21,60,1,4,Male
676,Зиновій,Жадан,2002-01-28,19,8,0,Male
677,Ілля,Дейнека,2002-01-11,71,8,10,Male
678,Гордій,Парасюк,1996-05-18,93,9,1,Male
679,Наталія,Ящук,2001-07-22,38,5,8,Female
680,Володимир,Матяш,2000-04-08,64,10,1,Male
681,Адам,Нестайко,1996-04-12,2,2,8,Male
682,Дарина,Андрейко,1997-11-23,63,2,7,Female
683,Владислав,Артюшенко,2000-06-18,19,8,2,Male
684,Еріка,Калениченко,2003-11-10,71,5,4,Female
685,Лариса,Деревʼянко,2003-06-01,36,0,9,Female
686,Гордій,Черінько,2006-11-05,17,10,8,Male
687,Левко,Вітрук,1999-04-02,76,6,7,Male
688,Орхип,Джус,1993-06-25,43,3,6,Male
689,Віра,Устенко,2004-12-07,54,8,0,Female
690,Роман,Безбородьки,2008-03-27,36,8,2,Male
691,Ірена,Сиротенко,2008-02-24,38,7,0,Female
692,Едуард,Якимчук,1996-09-15,96,7,3,Male
693,Аліна,Вакуленко,2001-05-08,73,7,8,Female
694,Ірина,Колісниченко,2003-05-30,63,5,0,Female
695,Марко,Батіг,1998-04-15,38,3,5,Male
696,Ярослав,Гайдабура,2001-11-18,22,0,10,Male
697,Роман,Іванченко,1998-02-02,10,1,9,Male
698,Лариса,Годунок,2005-10-16,33,6,10,Female
699,Марʼяна,Рябець,1995-01-20,34,1,0,Female
700,Олекса,Лавренко,2006-08-15,23,4,0,Male
701,Соломія,Артимович,1996-08-21,12,9,10,Female
702,Надія,Чубай,1995-08-23,19,5,9,Female
703,Сніжана,Дзиндра,2006-11-28,30,8,1,Female
704,Арсен,Абрамчук,2008-02-27,18,6,10,Male
705,Оксенія,Корсун,2001-12-23,71,0,2,Female
706,Валерій,Товстуха,1996-03-02,22,2,2,Male
707,Опанас,Опанасенко,1995-07-07,53,8,0,Male
708,Галина,Рубець,2006-04-18,57,1,5,Female
709,Єва,Тесля,2001-08-13,8,1,10,Female
710,Дарина,Ажажа,1996-08-23,4,10,0,Female
711,Марія,Гавриш,1994-08-08,61,9,10,Female
712,Лесь,Смик,2001-06-24,96,2,2,Male
713,Емілія,Гайдай,1997-11-01,67,3,3,Female
714,Валентин,Остапчук,1994-01-05,56,10,3,Male
715,Альберт,Стельмах,2004-12-02,94,8,3,Male
716,Одарка,Рудик,2007-12-28,52,4,8,Female
717,Любов,Запорожець,1993-05-31,62,10,9,Female
718,Віолетта,Пустовіт,1998-04-25,39,1,7,Female
719,Ліза,Чабан,2006-10-21,31,3,0,Female
720,Маруся,Чумаченко,1997-08-07,83,7,2,Female
721,Леон,Жук,2007-09-30,63,2,8,Male
722,Єлисавета,Уманець,2004-06-03,33,3,4,Female
723,Маруся,Кармалюк,1998-12-04,72,1,5,Female
724,Данна,Забашта,2004-02-26,97,6,0,Female
725,Орина,Канівець,2007-10-03,9,2,6,Female
726,Олена,Комар,1994-07-26,40,5,0,Female
727,Валерій,Бабак,1994-03-09,56,2,3,Male
728,Миколай,Слюсар,1995-09-25,100,1,1,Male
729,Захар,Романчук,2000-10-05,40,0,6,Male
730,Тарас,Єрмоленко,2004-11-25,68,0,2,Male
731,Леонтій,Яковенко,2005-08-25,99,8,8,Male
732,Ярослава,Габелко,1998-09-26,10,6,4,Female
733,Дмитро,Рубан,2008-10-14,81,5,2,Male
734,Степан,Дашкевич,2007-10-03,27,0,4,Male
735,Леопольд,Джус,2004-02-20,64,2,9,Male
736,Трохим,Чалий,2000-05-08,66,3,10,Male
737,Вʼячеслав,Христич,2000-03-30,94,10,5,Male
738,Орест,Фартушняк,2008-06-21,81,3,8,Male
739,Емілія,Рябченко,1998-04-03,39,4,9,Female
740,Костянтин,Данилюк,1997-12-16,23,0,1,Male
741,Леон,Лисенко,2001-01-05,4,8,4,Male
742,Святослав,Рябовіл,2000-10-11,72,2,5,Male
743,Пріска,Артимович,2007-08-30,29,8,9,Female
744,Алевтин,Лесик,2007-10-20,64,6,2,Male
745,Надія,Ярош,2004-06-25,38,5,3,Female
746,Ганна,Рудик,2005-06-21,2,0,10,Female
747,Антон,Андрієнко,2001-09-02,98,4,6,Male
748,Олег,Гузенко,2006-03-05,9,10,2,Male
749,Олена,Андрієнко,1997-09-16,14,3,8,Female
750,Галина,Малик,1999-06-26,73,5,6,Female
751,Лілія,Шило,2006-08-02,99,5,8,Female
752,Азар,Девдюк,2002-07-13,2,8,6,Male
753,Аліна,Бабенко,2002-09-04,95,6,3,Female
754,Ярина,Рубан,1995-03-08,84,10,9,Female
755,Анастасія,Шовкопляс,2000-09-05,31,6,8,Female
756,Герман,Хомик,1999-08-19,63,0,7,Male
757,Богуслава,Тичина,2002-06-10,59,10,5,Female
758,Володимира,Шеремета,1993-12-03,12,4,0,Female
759,Олександр,Ющенко,1996-08-21,81,7,4,Male
760,Веніямин,Оберемко,2004-01-23,44,2,1,Male
761,Клавдія,Акуленко,2005-11-09,83,2,1,Female
762,Орися,Дараган,2004-10-21,89,7,5,Female
763,Анжела,Карпенко,2000-07-31,89,6,3,Female
764,Юстим,Євдокименко,2003-02-23,61,2,9,Male
765,Давид,Захаренко,1997-02-22,90,4,2,Male
766,Опанас,Андрейко,2006-06-04,91,8,0,Male
767,Симон,Мірошниченко,2003-05-31,7,1,1,Male
768,Кирило,Байдак,2008-06-04,40,10,4,Male
769,Алла,Щербань,1997-05-06,9,6,9,Female
770,Емілія,Макогон,2000-07-22,86,0,10,Female
771,Віолетта,Сич,1993-12-11,56,7,4,Female
772,Ярина,Василечко,1999-03-12,45,8,10,Female
773,Оксенія,Вдовенко,2000-03-08,29,1,9,Female
774,Кирило,Забара,1997-06-17,65,10,3,Male
775,Франц,Гресь,2002-08-10,92,4,7,Male
776,Альберт,Артеменко,1999-11-15,95,8,7,Male
777,Олена,Масляк,1994-09-09,46,1,9,Female
778,Світлана,Каденюк,2004-07-26,23,1,2,Female
779,Дан,Литвин,1997-12-01,38,10,9,Male
780,Аврелій,Жадан,2008-05-03,21,8,4,Male
781,Вадим,Вернидуб,2000-09-21,27,2,6,Male
782,Емілія,Пушкар,2001-04-16,59,5,6,Female
783,Юстим,Гречко,1996-05-09,87,3,3,Male
784,Марʼяна,Іващенко,2001-11-09,30,7,9,Female
785,Прохір,Назаренко,2004-07-08,22,0,9,Male
786,Оксенія,Якимчук,2007-05-25,2,8,5,Female
787,Борислав,Ткач,2008-10-30,67,2,8,Male
788,Соломон,Рудик,2003-11-03,70,7,7,Male
789,Данна,Чередник,1999-04-28,32,9,8,Female
790,Йосип,Чабан,2007-10-05,96,9,1,Male
791,Опанас,Дацюк,1997-10-31,29,0,10,Male
792,Анастасія,Чумак,1999-01-11,86,9,2,Female
793,Трохим,Данчук,2008-05-09,13,5,2,Male
794,Нестор,Іващенко,2006-10-31,37,6,5,Male
795,Дан,Гаврюшенко,1996-01-11,33,6,2,Male
796,Кирило,Чередник,1998-02-26,76,8,9,Male
797,Вʼячеслав,Тимченко,2007-05-27,81,3,6,Male
798,Остап,Арсенич,2008-02-01,95,2,9,Male
799,Альбіна,Закусило,2005-04-09,91,3,2,Female
800,Гліб,Акуленко,1993-09-01,83,0,6,Male
801,Аліна,Батюк,1996-03-20,67,10,3,Female
802,Христина,Павленко,1994-09-13,98,7,8,Female
803,Захар,Абрамчук,2002-03-14,7,1,1,Male
804,Орест,Наливайко,2004-04-12,46,2,1,Male
805,Ірина,Дурдинець,2007-05-01,32,3,1,Female
806,Аніта,Арсенич,1993-06-17,4,7,0,Female
807,Пріска,Батіг,1994-10-29,32,1,3,Female
808,Наталія,Павлик,1998-07-31,80,5,9,Female
809,Зорян,Юрченко,2003-01-13,23,7,0,Male
810,Макар,Приходько,2001-06-11,39,2,3,Male
811,Роксолана,Зайченко,2005-10-21,90,7,0,Female
812,Євген,Вдовенко,1994-12-06,66,1,9,Male
813,Леон,Дейнека,1993-07-21,85,2,2,Male
814,Михайло,Панчук,1995-07-07,68,8,9,Male
815,Охрім,Бездітко,2005-10-30,29,10,6,Male
816,Станіслав,Бандера,2004-08-28,73,10,10,Male
817,Анастасія,Закусило,1998-05-07,2,4,10,Female
818,Марʼяна,Карпенко,2001-12-20,49,8,1,Female
819,Арсен,Проценко,2005-05-31,43,3,4,Male
820,Мартин,Червоненко,2008-01-03,79,3,6,Male
821,Одарка,Абрамчук,1995-03-11,35,2,10,Female
822,Аврелій,Рябець,2005-03-30,29,0,10,Male
823,Оксенія,Карпа,2001-08-17,68,0,7,Female
824,Борислав,Вакуленко,2002-08-25,61,2,6,Male
825,Наталія,Удовиченко,1997-04-13,14,3,7,Female
826,Азар,Ґерус,1993-05-16,51,4,0,Male
827,Василина,Тесля,1996-12-14,35,10,4,Female
828,Богданна,Базилевський,2002-05-24,85,5,8,Female
829,Левко,Юрчишин,1993-04-29,86,2,9,Male
830,Камілла,Дергач,2006-01-17,72,4,4,Female
831,Сніжана,Козак,1995-05-11,88,9,10,Female
832,Валентина,Павленко,2002-03-17,84,10,5,Female
833,Вікторія,Бабич,2007-09-08,42,9,9,Female
834,Григорій,Іваничук,2006-12-10,63,6,9,Male
835,Онисим,Самойленко,1998-08-20,14,2,3,Male
836,Степан,Оробець,1996-11-07,15,6,3,Male
837,Амвросій,Пушкар,1994-09-15,70,4,3,Male
838,Герман,Олійник,2001-06-13,54,6,5,Male
839,Марина,Яценко,2008-03-18,7,5,2,Female
840,Оксана,Дахно,2000-03-27,62,2,6,Female
841,Борис,Юхименко,2007-09-27,45,2,9,Male
842,Камілла,Конопля,1993-10-09,76,0,1,Female
843,Веніямин,Твердохліб,1999-12-06,41,4,2,Male
844,Сергій,Забара,2006-11-07,26,6,8,Male
845,Анжела,Кальченко,1993-06-18,20,1,1,Female
846,Амалія,Годунок,1995-04-12,21,5,9,Female
847,Михайло,Сиротенко,1996-04-19,27,9,10,Male
848,Дарина,Микитюк,1995-09-27,15,2,2,Female
849,Марко,Тихий,2002-08-08,94,7,1,Male
850,Тереза,Дацюк,1998-12-18,14,2,10,Female
851,Єлисей,Гречко,1999-09-08,4,6,6,Male
852,Амвросій,Фартушняк,2004-03-25,77,7,6,Male
853,Оксана,Лисенко,1996-03-24,100,6,4,Female
854,Веніямин,Даниленко,2007-07-08,44,0,10,Male
855,Тетяна,Вертипорох,2008-07-23,48,7,10,Female
856,Лариса,Стець,1993-05-06,89,6,7,Female
857,Прохір,Деряжний,2002-12-31,78,6,10,Male
858,Анастасія,Чуйко,2007-11-03,24,0,1,Female
859,Лілія,Семенченко,2005-09-25,85,2,0,Female
860,Володимир,Наливайко,1998-03-06,62,2,10,Male
861,Прохір,Петлюра,2005-05-01,93,6,9,Male
862,Максим,Лемешко,2003-03-19,36,7,8,Male
863,Миколай,Ребрик,2007-12-13,22,1,6,Male
864,Тарас,Цимбалюк,2002-06-01,89,7,0,Male
865,Святослава,Ванченко,1999-08-21,39,5,7,Female
866,Клавдія,Худобʼяк,1997-09-22,42,7,5,Female
867,Варвара,Оніщук,1995-11-19,79,8,8,Female
868,Лукʼян,Худобʼяк,1998-09-27,23,6,5,Male
869,Вʼячеслав,Франко,2002-06-01,97,6,1,Male
870,Єлисей,Гайденко,2000-03-04,20,4,10,Male
871,Марта,Бабич,1999-04-01,22,2,10,Female
872,Ганна,Гавриленко,2002-05-29,90,4,5,Female
873,Оксана,Засядько,1997-05-18,13,3,4,Female
874,Марко,Рябошапка,2007-05-20,58,9,7,Male
875,Кирило,Адамчук,1996-12-28,26,0,9,Male
876,Віталій,Акименко,1993-12-26,13,9,1,Male
877,Емілія,Засуха,2003-09-17,97,2,2,Female
878,Святослава,Філіпенко,1997-06-04,1,0,8,Female
879,Маруся,Вишняк,1999-07-09,25,3,0,Female
880,Оксенія,Авраменко,2007-05-19,22,10,8,Female
881,Миколай,Андрійович,2005-07-20,15,10,0,Male
882,Вадим,Товстуха,2002-05-15,28,8,9,Male
883,Ярина,Запорожець,2004-07-19,73,8,8,Female
884,Пріска,Лагода,2006-03-11,73,0,0,Female
885,Валерій,Атаманчук,2008-01-16,14,10,2,Male
886,Едуард,Смик,1997-01-02,37,4,2,Male
887,Ірина,Тичина,2005-11-02,93,10,0,Female
888,Емілія,Михайличенко,1995-06-24,47,1,7,Female
889,Вікторія,Бабак,1999-09-10,1,0,8,Female
890,Ярослав,Дзиндра,1996-05-15,68,4,10,Male
891,Марта,Заєць,2002-11-23,68,2,5,Female
892,Єва,Бабʼяк,2001-01-09,56,7,8,Female
893,Євген,Забіла,2001-04-01,50,3,1,Male
894,Орися,Демʼянюк,2008-01-29,22,1,0,Female
895,Леопольд,Оліфіренко,1998-04-09,80,3,5,Male
896,Маруся,Деркач,1996-10-14,23,7,8,Female
897,Володимира,Базилевич,1998-07-23,98,3,1,Female
898,Ганна,Чайка,2000-02-07,74,5,5,Female
899,Наталія,Даценко,1998-05-17,11,10,4,Female
900,Олександр,Бабійчук,2003-09-09,12,3,1,Male
901,Ілля,Абрамчук,1995-02-15,15,0,6,Male
902,Демид,Дубина,2008-06-01,16,1,10,Male
903,Ірена,Вовк,2004-03-21,92,8,7,Female
904,Аврелій,Дрозд,2008-09-13,18,7,9,Male
905,Лілія,Скорик,2002-11-28,80,5,5,Female
906,Богданна,Баштан,2002-09-15,19,2,1,Female
907,Варфоломій,Журба,1995-07-25,2,9,8,Male
908,Мілена,Чайка,1998-12-05,54,3,2,Female
909,Данило,Зінчук,1996-08-14,52,0,7,Male
910,Ірена,Гречаник,2000-12-17,19,5,4,Female
911,Дан,Габелко,2005-12-21,64,6,7,Male
912,Олена,Сімашкевич,1996-01-19,66,7,0,Female
913,Кирило,Симоненко,1995-11-23,20,7,4,Male
914,Анжела,Романенко,2000-12-05,93,4,9,Female
915,Кирило,Єрмоленко,1996-02-03,46,9,2,Male
916,Володимир,Токар,1998-01-22,83,9,1,Male
917,Богодар,Єременко,1997-11-30,13,10,2,Male
918,Марʼяна,Алексеєнко,2001-11-13,89,8,5,Female
919,Юстим,Гузенко,2008-03-20,25,7,0,Male
920,Леонтій,Шинкаренко,2008-12-01,45,7,2,Male
921,Анастасія,Штокало,1999-08-08,59,10,6,Female
922,Віра,Адамчук,1998-04-02,26,10,4,Female
923,Варфоломій,Чорновіл,1998-04-28,22,9,6,Male
924,Оксенія,Медведенко,1995-06-03,52,7,1,Female
925,Кирило,Іваничук,2005-02-04,45,5,6,Male
926,Сніжана,Дробʼязко,2001-11-30,11,7,3,Female
927,Орест,Супруненко,2006-09-04,63,6,0,Male
928,Аніта,Журба,2001-10-17,40,2,5,Female
929,Богодар,Шило,2009-02-09,18,0,3,Male
930,Аліна,Алексюк,1999-08-03,69,3,4,Female
931,Аніта,Власюк,1997-05-21,54,3,8,Female
932,Климент,Коваленко,1996-07-13,23,8,6,Male
933,Ольга,Василечко,2001-12-25,44,9,4,Female
934,Гліб,Яремчук,2004-12-20,77,0,1,Male
935,Ярослава,Гуцуляк,1996-09-22,66,8,7,Female
936,Ілля,Ковпак,1993-12-31,24,4,2,Male
937,Михайлина,Гайдай,2004-06-23,15,1,6,Female
938,Василина,Влох,1994-06-08,18,9,3,Female
939,Тетяна,Рубець,1996-01-29,48,7,1,Female
940,Артем,Худяк,2004-03-27,60,3,0,Male
941,Дарина,Рак,2008-06-01,9,1,6,Female
942,Сніжана,Шиян,2008-04-13,56,4,3,Female
943,Оксенія,Ісаєвич,2001-07-04,77,6,4,Female
944,Мирослав,Абрамчук,1993-05-24,29,0,3,Male
945,Орина,Бевзенко,2002-11-15,42,6,5,Female
946,Євген,Онуфрієнко,2004-02-17,97,9,1,Male
947,Пантелеймон,Філіпенко,2009-01-15,51,4,3,Male
948,Валентина,Алексюк,2005-08-21,66,5,1,Female
949,Петро,Петрик,1996-03-23,76,4,10,Male
950,Яків,Єсипенко,1998-04-24,33,8,10,Male
951,Леон,Козак,1993-04-19,9,8,3,Male
952,Володимира,Палій,1994-08-06,90,3,0,Female
953,Спас,Скиба,2008-12-15,68,10,4,Male
954,Аліна,Тичина,2005-02-04,63,7,9,Female
955,Орина,Якименко,2003-03-02,31,3,3,Female
956,Олена,Талан,1997-09-09,20,8,1,Female
957,Ілля,Чумак,1997-05-03,42,5,5,Male
958,Аліна,Сиротенко,2000-08-09,6,2,2,Female
959,Еріка,Дацюк,1998-06-19,55,10,1,Female
960,Теодор,Іваничук,1998-08-15,40,5,7,Male
961,Франц,Бебешко,1994-06-22,26,3,5,Male
962,Пріска,Корсун,1996-07-25,5,8,7,Female
963,Сніжана,Даниленко,2000-03-14,53,2,1,Female
964,Андрій,Затовканюк,2007-08-06,3,4,6,Male
965,Прохір,Кащенко,2006-11-13,1,7,4,Male
