id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender,city
385,Michelle,Andre,2004-07-06,28,6,4,Female,Alves
386,Océane,Gérard,2001-02-11,6,4,1,Female,Leroynec
387,Raymond,Salmon,1996-07-26,60,2,0,Male,Mathieu-la-Forêt
388,Nathalie,Regnier,2004-11-21,25,1,1,Female,DevauxVille
389,Juliette,Bruneau,1995-03-23,31,4,4,Female,Picard
390,Marthe,Delaunay,1996-07-17,69,1,1,Female,Lelièvre-sur-Mer
391,Stéphane,Blot,1994-07-21,64,4,4,Male,Pinto
392,Benjamin,Guillet,1998-11-12,65,5,3,Male,Sanchez-les-Bains
393,René,Deschamps,1996-01-24,96,0,0,Male,Descamps-sur-David
394,Gérard,Faure,1993-04-23,30,1,0,Male,Robin-sur-Marion
395,Thierry,Charpentier,2008-05-23,75,3,2,Male,Berthelot
396,Marine,Lamy,2007-03-31,73,8,7,Female,Fournier-les-Bains
397,Olivie,Giraud,2003-07-03,58,7,4,Female,Martinezdan
398,Agnès,Morin,2005-06-29,91,1,1,Female,Saint François
399,Lucas,Chrétien,2005-08-30,66,9,4,Male,Hernandez
400,Simone,Charrier,2008-10-11,88,5,3,Female,Riou
401,Henriette,Gauthier,2008-10-22,36,3,0,Female,BourgeoisBourg
402,Jeannine,Schneider,1993-12-24,73,10,8,Female,Germain
403,Louise,Ollivier,1996-11-24,55,5,5,Female,RuizVille
404,Thomas,Cohen,1997-12-22,69,0,0,Male,Saint Étiennedan
405,Benoît,Perret,1998-05-18,95,5,3,Male,Hardynec
406,Victoire,Ledoux,1995-05-15,88,1,1,Female,Saint Nathalie
407,Honoré,Tessier,2005-10-03,70,4,4,Male,Sainte Andréboeuf
408,Adrienne,Lagarde,1997-12-12,67,7,4,Female,Ledouxnec
409,Jean,Techer,1998-11-15,52,0,0,Male,Fourniernec
410,Clémence,Guyon,2006-05-14,5,8,6,Female,Sainte AdrienneVille
411,Gilles,Gérard,2002-12-13,37,7,2,Male,Sainte AliceBourg
412,Henri,Courtois,2008-09-14,92,1,1,Male,Descamps
413,Alix,Philippe,1994-11-14,40,5,2,Female,Tessier-sur-Georges
414,Vincent,Rodriguez,2007-04-17,80,8,3,Male,Schneider
415,Agathe,Colas,2006-06-22,21,3,3,Female,Sainte Célina
416,Joseph,Pascal,2005-12-16,52,1,1,Male,Saint William-les-Bains
417,Martine,Picard,1996-07-11,20,1,0,Female,Lecomte
418,Luc,Fouquet,2000-12-30,70,10,10,Male,Roussel
419,Geneviève,Bouvet,2004-11-17,92,5,4,Female,Saint Lucy-la-Forêt
420,Gérard,Guillet,2003-07-11,61,7,3,Male,Wagner-sur-Rodriguez
421,Alexandre,Seguin,1993-11-06,67,4,0,Male,Martinez
422,Emmanuelle,Benoit,2007-03-05,4,5,4,Female,Saint Marie
423,David,Dupont,1996-06-02,22,8,3,Male,Saint Laurent-les-Bains
424,Élise,Diallo,1999-09-03,84,9,8,Female,Lacombe-sur-Lacroix
425,Aurélie,Charrier,1996-12-07,86,0,0,Female,Pineau-sur-Vallet
426,Renée,Verdier,2008-11-21,61,7,1,Female,Lucas
427,Lucie,Lamy,2002-02-01,98,10,6,Female,Maillot
428,Julien,Lejeune,2006-04-05,11,0,0,Male,Benard-sur-Lemonnier
429,Thierry,Delahaye,2005-01-26,29,0,0,Male,Langlois
430,Théophile,Faure,1997-06-11,30,2,2,Male,Arnaud
431,Alexandre,Mercier,2008-12-16,44,8,3,Male,Chevallier-sur-Chevalier
432,Jérôme,Meyer,2004-01-30,94,1,0,Male,Hardy
433,Georges,Besnard,2006-01-24,87,4,1,Male,Marchand
434,Aurore,Lagarde,2008-04-12,52,5,0,Female,Gaudindan
435,Marie,Richard,1993-04-20,10,1,0,Female,Parentnec
436,Tristan,Lambert,2004-12-07,13,0,0,Male,Bonnet
437,André,Evrard,1999-09-16,90,5,5,Male,Gaillard
438,Édouard,Dos Santos,2000-03-18,49,0,0,Male,Perezboeuf
439,Adrien,Foucher,1998-01-01,51,2,1,Male,Delaunay-sur-Menard
440,Monique,Guichard,1994-06-05,22,6,0,Female,Gillet
441,Éric,Chartier,2000-01-09,31,8,4,Male,BarbierVille
442,Denis,Ribeiro,2007-03-01,68,3,3,Male,Besnard
443,Luce,Bernard,1995-12-05,86,4,1,Female,Sainte GeorgesVille
444,Tristan,Morin,1994-07-07,45,4,2,Male,Clément
445,Étienne,Poulain,1997-01-07,23,2,2,Male,Perez
446,Maurice,Pires,2000-03-11,51,1,1,Male,DuhamelVille
447,Raymond,Lenoir,1995-06-04,52,9,9,Male,Dubois
448,Xavier,Perrot,1993-03-26,9,3,2,Male,Hebert
449,Isaac,Gauthier,2008-02-16,53,8,2,Male,PerrotVille
450,Patricia,Launay,1999-02-12,72,6,6,Female,Saint Luciedan
451,Maurice,Toussaint,2001-08-06,14,6,2,Male,Marchand
452,Sébastien,Bouchet,1995-03-27,7,3,1,Male,Carpentier
453,Rémy,Collin,2004-02-09,32,0,0,Male,Denis
454,Thibault,Brunel,2007-11-11,11,5,2,Male,Didier-sur-Ribeiro
455,Françoise,Delaunay,2002-04-17,90,6,5,Female,Chevalier
456,Clémence,Berthelot,2002-04-04,86,2,1,Female,Martelboeuf
457,Pierre,Didier,2006-11-11,22,6,2,Male,Saint David
458,Victor,Lévêque,1995-03-10,85,0,0,Male,Meyer-la-Forêt
459,Franck,Bailly,1999-02-03,67,7,6,Male,Saint Michelledan
460,Anastasie,Vaillant,2007-07-25,47,7,0,Female,Marin
461,Théophile,Fernandes,1999-01-02,36,1,1,Male,Nicolas-sur-Mer
462,Adrienne,Weiss,1995-01-11,62,0,0,Female,Saint Victoire
463,Jacqueline,Guillot,2000-06-06,2,2,1,Female,Humbert
464,Victor,Perez,1997-06-08,22,5,4,Male,Delmas
465,Guy,Renault,1999-06-29,68,5,1,Male,Philippe
466,Sylvie,Mathieu,2007-11-08,83,2,1,Female,Perrot
467,Joseph,Faure,2005-11-17,36,1,0,Male,Daniel
468,Dorothée,Albert,2003-12-10,43,0,0,Female,Pierre-sur-Dias
469,Thierry,Clément,2004-01-27,54,1,1,Male,Goncalves
470,Sylvie,Moreau,2002-12-27,58,1,0,Female,RodriguezBourg
471,Thomas,François,1998-06-30,55,1,0,Male,Sainte Emmanuelleboeuf
472,Alix,Brunel,2004-04-08,95,5,1,Female,Sainte Vincent
473,Grégoire,Bodin,1994-02-23,61,10,2,Male,Humbert
474,Olivie,Barbier,1997-04-15,26,0,0,Female,Chevalliernec
475,Véronique,Bouvet,2009-01-17,37,5,5,Female,Hoareaudan
476,Patricia,Guillaume,1995-08-16,96,8,5,Female,Martinez-sur-Techer
477,Odette,Lesage,2003-09-07,76,10,7,Female,Barthelemy-la-Forêt
478,Michèle,Dupont,2002-10-10,39,2,2,Female,Charles-sur-Mer
479,Valentine,Baudry,1995-06-09,65,6,4,Female,Techer
480,Benoît,Humbert,1994-06-14,32,5,4,Male,Saint RobertBourg
481,Adélaïde,Goncalves,2007-12-02,33,5,0,Female,Guibert
482,Michelle,Delattre,2008-07-28,37,0,0,Female,Saint Julien
483,Alexandre,Bonnet,2005-08-11,37,4,4,Male,Dupuy
484,Sébastien,Clerc,1997-09-01,46,6,2,Male,Saint Laurenec
485,Léon,Paris,1993-07-11,14,5,4,Male,Bergerboeuf
486,Vincent,Bonnin,2003-06-01,46,6,1,Male,Peronboeuf
487,Benjamin,Charles,1997-01-16,77,6,4,Male,Perrotdan
488,Bertrand,Marques,2001-02-22,4,8,4,Male,Vidal
489,Denise,Hervé,1996-08-22,51,8,1,Female,Saint Alexboeuf
490,Zacharie,Valette,1995-05-22,4,9,7,Male,Robinnec
491,Henri,Lamy,1993-12-24,80,4,3,Male,Baron-les-Bains
492,Sébastien,Loiseau,2003-01-03,9,6,0,Male,Seguin
493,Élisabeth,Clément,1994-03-22,9,0,0,Female,Bonneau
494,Pauline,Gallet,2008-02-13,3,9,9,Female,Saint Lorraine-la-Forêt
495,Jacques,Barbier,1995-07-12,52,6,0,Male,Joubert
496,Jean,Voisin,2002-02-13,93,1,1,Male,Loiseaudan
497,Benjamin,Lacombe,2006-11-08,94,5,0,Male,Barbier-les-Bains
498,Alain,Lemaire,2000-07-18,36,5,4,Male,Bruneau
499,Maggie,Charpentier,1997-04-16,78,7,1,Female,Clercdan
500,Édouard,Guillet,2000-09-17,90,1,1,Male,Caron
501,Lucie,Garnier,1994-06-16,3,7,4,Female,ColletVille
502,Guy,Loiseau,2003-09-24,76,10,8,Male,Simon
503,Colette,François,2004-02-09,79,6,1,Female,Michel
504,Claire,Barre,1996-06-24,6,9,4,Female,Traore-sur-Morin
505,Victor,Legrand,2008-11-08,69,0,0,Male,Dubois-la-Forêt
506,Audrey,Pruvost,2004-01-15,56,10,6,Female,Labbé
507,Denise,Hubert,2000-09-09,20,5,2,Female,Perrin
508,Gilles,Sauvage,1997-05-19,92,7,6,Male,Monnier
509,Marie,Renault,1998-09-04,35,9,5,Female,Valléenec
510,Marthe,Dumont,1993-05-24,2,4,2,Female,Joseph-les-Bains
511,Sophie,Allard,1994-04-12,68,6,0,Female,Chevallier-sur-Besnard
512,Édouard,Neveu,2006-05-25,44,2,1,Male,PayetVille
513,Noémi,De Oliveira,1993-07-24,41,3,3,Female,Saint Timothée
514,Georges,Leroux,2002-04-29,99,6,4,Male,HumbertVille
515,Célina,Regnier,2007-07-23,55,2,1,Female,Ruizboeuf
516,Valérie,Jean,1998-05-12,2,0,0,Female,Colin-la-Forêt
517,Marguerite,Pichon,1993-07-26,99,8,2,Female,Humbert
518,Thomas,Hervé,2005-11-26,70,6,5,Male,Daniel
519,Arthur,Marchal,2000-09-08,89,9,8,Male,Dumont
520,Adrien,Clerc,2007-10-04,83,0,0,Male,Alves
521,Lucas,Fouquet,2005-04-30,19,6,2,Male,Sainte Guillaume
522,Eugène,Pasquier,2007-12-23,35,1,1,Male,Saint AlfredVille
523,Nicole,Lenoir,1995-03-17,90,7,5,Female,Faureboeuf
524,Raymond,Chauveau,1993-08-11,26,2,2,Male,GosselinVille
525,Joséphine,Pages,2006-12-24,31,9,3,Female,Bretondan
526,Inès,Barthelemy,2002-03-30,72,7,3,Female,Pages
527,Joséphine,Camus,1993-10-21,46,10,10,Female,Chartier-sur-Guyon
528,Patrick,Clément,1996-10-13,7,9,9,Male,Rousseau
529,Henriette,Merle,1999-02-12,42,1,0,Female,Lucas
530,Margaret,Maillet,2003-07-15,37,9,6,Female,Turpin-les-Bains
531,Juliette,Leconte,2006-10-06,66,6,5,Female,Collet
532,Jérôme,Lucas,1996-06-14,35,3,0,Male,Sainte Margot
533,Marianne,Lecoq,1997-04-21,34,5,4,Female,GilbertBourg
534,Aimée,Rocher,1998-01-14,90,2,2,Female,Besson
535,Léon,Monnier,2004-06-03,100,0,0,Male,BessonVille
536,Anne,Ramos,2007-06-11,11,2,2,Female,Sauvage
537,Antoinette,Deschamps,1999-08-13,68,3,2,Female,Faivre
538,Luc,Petitjean,2002-09-12,45,2,1,Male,Sainte Bertrand
539,Diane,Raymond,2008-09-11,71,4,4,Female,BaillyVille
540,Xavier,Leroux,2003-08-30,42,10,1,Male,Lemaître
541,Christiane,Toussaint,1996-01-22,26,5,4,Female,Laurent
542,David,Petit,1999-04-10,100,5,5,Male,Dumont
543,Gérard,Techer,1993-11-22,28,3,3,Male,Girard-la-Forêt
544,Camille,Hubert,1993-10-10,99,4,1,Female,Reynaud-les-Bains
545,Lucas,Barbe,2004-03-26,95,6,6,Male,LefebvreVille
546,Théodore,Vidal,2005-01-22,57,3,2,Male,Saint Isaac
547,Michel,Boulanger,1994-12-10,79,10,3,Male,Evrard
548,Augustin,Lopez,1998-08-17,17,10,2,Male,Sainte MarcBourg
549,Étienne,Nguyen,2005-08-08,2,6,3,Male,Sainte Gilles-la-Forêt
550,Maryse,Guilbert,2008-03-11,88,6,2,Female,Chauvet-sur-Mer
551,Bernard,Coste,2005-03-24,42,1,1,Male,Sainte Dianedan
552,Sophie,Breton,1995-03-29,29,6,0,Female,Sainte Christelle
553,Suzanne,Bodin,1995-04-23,39,4,0,Female,Saint Frédéric
554,Lucy,Lecomte,1993-05-04,37,4,2,Female,Devaux
555,Matthieu,Dos Santos,1994-05-19,10,10,2,Male,Perrindan
556,Olivie,Bernier,1997-12-09,58,5,4,Female,Schmitt-sur-Picard
557,David,Bouvier,1993-12-25,33,1,0,Male,Didier
558,Honoré,Philippe,1999-05-19,46,6,2,Male,Sainte Éléonorenec
559,Pierre,Ollivier,2006-06-26,16,5,5,Male,LaporteBourg
560,Thierry,Gosselin,2008-02-21,18,4,4,Male,Saint Emmanuelleboeuf
561,Lucy,Potier,2003-10-20,25,5,5,Female,Saint Jeannine
562,Théodore,Boulay,2004-12-07,25,5,5,Male,Maurice
563,Henri,Garnier,1993-08-12,1,7,4,Male,Verdier-la-Forêt
564,Valérie,Ruiz,2008-06-08,19,6,4,Female,Guyonnec
565,Alfred,Fabre,2001-02-09,29,6,6,Male,Guibert-les-Bains
566,Vincent,Gaillard,1997-03-09,69,2,2,Male,Da Costa
567,Françoise,Teixeira,2005-09-08,28,10,7,Female,Carrenec
568,Alfred,Rousset,2006-07-05,66,0,0,Male,Ledoux
569,Christiane,Alves,2007-11-09,60,3,1,Female,Foucher-sur-Lesage
570,Thibaut,Paris,2005-06-27,45,3,2,Male,Bodin
571,Aimé,Legendre,1998-07-09,45,2,2,Male,Thibault-sur-Mer
572,Élodie,Grenier,1995-06-27,56,3,0,Female,Martineauboeuf
573,Léon,Besnard,2003-12-09,15,9,4,Male,Sauvage
574,Vincent,Texier,2002-08-16,28,4,0,Male,Garcianec
575,Manon,Muller,2000-05-23,79,3,0,Female,Denisnec
576,Suzanne,Costa,1995-01-19,80,8,7,Female,JacobVille
577,Sabine,Fischer,2001-07-01,90,7,2,Female,Sainte Émile-sur-Mer
578,Pierre,Martinez,2000-01-08,98,5,1,Male,Saint Adrienne-la-Forêt
579,Denise,Bonnin,2002-04-29,81,5,0,Female,Lopez
580,Émile,Breton,2008-02-24,22,1,0,Male,Sainte Léonnec
581,Eugène,Coste,2006-10-29,65,4,1,Male,Legros
582,Augustin,Lévy,1996-11-03,17,5,3,Male,Monnier
583,Aimée,Le Roux,1999-11-01,30,10,1,Female,Leleu-sur-Mer
584,Laetitia,Jacques,1998-02-23,7,3,2,Female,CharrierVille
585,Margot,Jacquot,2007-02-17,73,8,4,Female,Blanc
586,Frédéric,Dumas,2006-09-15,64,9,6,Male,Rochernec
587,Pénélope,Boulay,1995-04-25,80,9,3,Female,Letellier-sur-Pottier
588,Yves,Tanguy,1999-12-15,27,9,2,Male,Pereira
589,Andrée,Giraud,1995-05-07,46,9,3,Female,Blanc
590,Anouk,Antoine,2000-11-24,83,5,4,Female,Sainte Denisedan
591,Jeanne,Picard,2006-02-19,92,6,2,Female,Reynec
592,Océane,Hoarau,1997-09-16,76,4,4,Female,Fischer
593,Martine,Bailly,2002-03-16,53,3,1,Female,Sainte Sophie
594,Alfred,Gomez,2002-07-13,45,0,0,Male,Ramosnec
595,Paul,Riou,1995-12-27,1,0,0,Male,Sainte JosetteVille
596,Étienne,Renault,1999-09-06,49,10,3,Male,Ramos
597,Arthur,Pelletier,2003-11-01,54,9,9,Male,Royboeuf
598,Isabelle,Louis,1995-03-07,10,4,0,Female,Laine-sur-Menard
599,Madeleine,Mendès,1994-11-11,23,0,0,Female,Saint Agathe
600,Marianne,Roy,1999-06-12,61,3,0,Female,Saint Josette
601,Tristan,Pages,2000-11-17,23,7,5,Male,Boutin
602,Jacqueline,Hoareau,1994-11-26,36,8,3,Female,Petit
603,Grégoire,Besson,2007-08-15,71,7,7,Male,Regnier-sur-Mer
604,Anne,Richard,1999-06-07,74,4,3,Female,Menard-sur-Mer
605,Clémence,Marin,2008-09-01,1,6,2,Female,Pages
606,Stéphanie,Lucas,1997-11-12,8,1,0,Female,Lopez
607,Margaux,Lesage,1996-01-31,50,10,3,Female,Imbertboeuf
608,Aurélie,Schneider,1993-11-11,34,5,1,Female,Fleury-sur-Masson
609,Luc,Camus,2002-04-07,68,7,6,Male,Raymond
610,Véronique,Torres,1994-10-11,63,9,4,Female,Garcia
611,Tristan,Labbé,2006-07-25,93,0,0,Male,Schmittnec
612,Jacques,Marchand,2008-09-24,23,7,3,Male,Saint Eugène
613,Olivier,Da Silva,2000-09-04,82,7,7,Male,Hardy-sur-Neveu
614,Anaïs,Schneider,2002-07-02,79,10,3,Female,LaurentBourg
615,Inès,Thomas,2007-06-14,8,10,6,Female,Chauveau-la-Forêt
616,Alexandre,Lemaire,2002-06-09,26,4,1,Male,Delaunaynec
617,Monique,Mace,2002-01-24,99,0,0,Female,Maury-sur-Loiseau
618,Marine,Hervé,2001-06-20,80,9,0,Female,Galletboeuf
619,Brigitte,Grégoire,1999-07-10,43,3,2,Female,Hernandez
620,Marc,De Oliveira,2007-12-17,67,7,5,Male,Lemoine
621,Denise,Dupré,1994-03-25,66,4,2,Female,Lecoq-sur-Mer
622,Pauline,Rocher,1996-07-22,53,10,10,Female,Dufour
623,Véronique,Da Costa,2006-03-18,68,8,1,Female,Chevallier
624,Noémi,Guillet,2002-03-13,90,0,0,Female,Fabre
625,Sébastien,Leblanc,2008-03-05,59,2,2,Male,Collet
626,Marthe,Delattre,2002-09-06,25,3,2,Female,Saint Anne
627,Michelle,Maury,1995-03-09,36,3,2,Female,Fabre
628,Clémence,Giraud,1994-09-30,17,5,4,Female,Sainte Étienneboeuf
629,Margaud,Auger,1995-12-22,87,4,3,Female,Durand
630,Anaïs,Moreau,1998-05-26,54,10,2,Female,Thibault
631,Martin,Guilbert,2006-08-18,85,10,2,Male,Maréchal
632,Bertrand,Teixeira,2006-08-14,54,7,0,Male,PrévostBourg
633,Mathilde,Buisson,2007-09-07,32,5,2,Female,Mary-les-Bains
634,Gilles,Chartier,1996-07-08,63,2,1,Male,Saint Robert
635,Joseph,Simon,2001-02-12,56,6,4,Male,Bodin
636,Maurice,Delattre,2007-08-18,85,0,0,Male,Garnier
637,Jules,Allard,2007-11-08,77,5,3,Male,Boucher
638,Timothée,Hebert,2004-12-30,91,2,2,Male,Guyot
639,Zoé,Giraud,2007-05-31,47,6,0,Female,Legendreboeuf
640,Thierry,Andre,1994-08-12,70,7,7,Male,Lopez
641,Thibault,Marchal,2004-02-03,27,5,5,Male,Meyerboeuf
642,Maurice,Michaud,2003-01-14,56,8,6,Male,Pires
643,Théodore,Becker,2002-01-24,88,8,5,Male,ThierryVille
644,Joséphine,Roux,2000-12-16,65,6,5,Female,Ruiz-les-Bains
645,Élise,Dupuy,1998-12-17,90,3,1,Female,Mullerboeuf
646,Christophe,Gomez,2006-10-26,79,1,0,Male,Saint Cécile
647,Rémy,Humbert,2000-04-08,10,5,0,Male,Vasseur
648,Sébastien,Michaud,1996-12-02,97,9,3,Male,Alexandre-les-Bains
649,Camille,Garcia,2007-09-10,100,3,1,Female,Bessondan
650,Charles,Perrin,2002-04-27,93,3,3,Male,Bègue-sur-Mer
651,Franck,De Oliveira,2001-02-09,82,6,2,Male,Pascal-sur-Couturier
652,Michelle,Bazin,2002-09-19,23,8,3,Female,Perrot
653,Étienne,Klein,2008-04-18,10,5,0,Male,Chauvin
654,Théodore,Picard,2001-04-11,26,5,5,Male,Benoit
655,Marcel,Martineau,2002-02-24,18,9,6,Male,Georges
656,Guy,Rodriguez,2004-02-19,3,7,2,Male,Voisin-sur-Gosselin
657,Aurélie,Dos Santos,2008-10-30,10,10,8,Female,Maurice
658,Margaud,Peltier,2006-01-26,79,10,8,Female,Guillot
659,Gabriel,Hamon,2004-11-12,99,4,3,Male,Sainte MartineVille
660,Denis,Lambert,2006-05-02,8,0,0,Male,Pottiernec
661,Lucie,Devaux,2001-05-25,67,8,3,Female,Saint Valérieboeuf
662,Emmanuelle,Mace,2003-05-24,7,2,2,Female,Ollivier-les-Bains
663,Marianne,Rey,2005-06-13,33,2,0,Female,Rivière-sur-Mer
664,Martin,Thomas,1997-02-17,78,10,4,Male,Saint Clémence
665,Claude,Letellier,1996-03-05,38,7,7,Female,LegrandVille
666,Maggie,Masse,1996-01-12,56,10,10,Female,Brun
667,Alain,Pereira,2001-02-20,23,8,7,Male,Bonnetnec
668,Théodore,Carlier,2000-03-07,99,6,2,Male,Saint Christiane
669,Franck,Boutin,1995-10-27,53,0,0,Male,Saint Christine
670,Lucas,Dubois,2001-05-16,91,0,0,Male,Saint Andréeboeuf
671,Anne,Bazin,2007-12-23,39,0,0,Female,Étienne-les-Bains
672,Arthur,Toussaint,2000-04-17,77,1,0,Male,Roche-sur-Guillon
673,Nicolas,Rossi,1997-01-13,69,3,3,Male,Turpin
674,Christophe,Rousset,1996-05-16,85,8,8,Male,Martineau
675,Olivier,Bonnin,2007-10-26,86,10,5,Male,Gonzalez
676,Alexandria,Hebert,2006-02-11,52,8,5,Female,Dupont-sur-Ollivier
677,Éléonore,Olivier,2004-06-24,34,0,0,Female,Sainte Simone
678,Antoinette,Guibert,2005-08-04,31,4,3,Female,Auger
679,André,Da Costa,1998-08-24,100,2,0,Male,Barre
680,Augustin,Bonnet,2005-02-28,35,8,3,Male,Fernandes-sur-Laine
681,Susanne,Lopes,2000-06-13,4,3,3,Female,ClercVille
682,Jacques,Gomes,1997-01-08,92,3,0,Male,Andre-la-Forêt
683,Robert,Caron,1993-08-01,42,4,4,Male,Albertboeuf
684,Jules,Cordier,1993-08-17,7,1,1,Male,Carpentier-les-Bains
685,Frédéric,Bonnet,2001-01-17,78,1,0,Male,Boutin
686,Théophile,Verdier,2002-10-29,86,7,1,Male,Sainte Gérard-les-Bains
687,Alexandrie,Gilles,2008-02-17,100,7,0,Female,Sainte NicolasBourg
688,Hélène,Gimenez,1997-07-31,97,3,2,Female,Durand
689,Patricia,Voisin,2003-05-21,90,9,8,Female,Camus
690,Alexandre,Turpin,2005-06-04,23,8,0,Male,Fabre
691,Jacques,Baudry,2007-01-21,14,6,5,Male,Fournier
692,Étienne,Morin,2000-06-16,92,5,0,Male,Sainte HenriBourg
693,Odette,Michel,1996-07-11,40,0,0,Female,LeconteBourg
694,Margaud,Cohen,2002-09-11,65,8,4,Female,MorinBourg
695,Marcelle,Letellier,2003-09-10,45,1,0,Female,BriandVille
696,Simone,Masse,2008-11-26,94,8,2,Female,Masse
697,William,Pelletier,1994-10-28,36,3,3,Male,Lambert-sur-Mer
698,Sophie,Meyer,1997-10-02,11,6,2,Female,Legros-sur-Gimenez
699,Marine,Delannoy,2007-07-31,28,6,1,Female,Boucher-la-Forêt
700,Noémi,Bertin,1998-06-23,75,2,1,Female,Meunier
701,Clémence,Berger,1999-05-15,84,5,1,Female,Le Roux
702,Christiane,De Sousa,1993-08-11,73,0,0,Female,Gay
703,Jacques,Marin,2004-06-25,30,4,3,Male,Chevalier
704,Pierre,Moulin,2006-03-19,78,3,3,Male,Boulaydan
705,Claudine,Martel,1994-09-16,87,3,0,Female,Bouchet-sur-Mer
706,Pauline,Legros,2007-07-03,78,5,1,Female,Lagarde
707,Julien,Valentin,1999-01-29,18,10,10,Male,Poulain-les-Bains
708,Claire,Vasseur,2006-11-14,16,7,4,Female,Bonnet-sur-Fernandez
709,Jérôme,Goncalves,2002-03-12,28,8,5,Male,Antoine-sur-Mer
710,Stéphane,Étienne,1998-08-06,43,7,7,Male,Guyon-les-Bains
711,Josette,Besson,1997-08-19,68,5,5,Female,PonsVille
712,Geneviève,Marchand,1999-09-16,33,4,3,Female,Allain
713,Zacharie,Pierre,1993-11-10,48,4,0,Male,Martineau
714,Michèle,Schneider,2007-12-23,20,9,1,Female,Robert-sur-Roy
715,Marcel,Maréchal,2004-10-12,70,2,0,Male,Da Costa-les-Bains
716,Lucas,Pichon,1996-12-04,40,2,2,Male,Poulain
717,Philippe,Samson,2004-09-11,56,9,5,Male,GuilletBourg
718,Hugues,Delahaye,2008-09-22,52,9,2,Male,Sainte SophieBourg
719,Gabriel,Breton,2005-11-22,18,0,0,Male,Hubert-sur-Klein
720,Jacques,Maury,2007-09-17,67,6,2,Male,Julien-les-Bains
721,Margaux,Philippe,2000-08-18,43,6,5,Female,Jacquot
722,Maggie,Leconte,1998-08-12,61,10,0,Female,Dupuy-sur-Goncalves
723,Georges,Mathieu,1999-11-23,30,10,5,Male,Tessier
724,Élisabeth,Antoine,2004-03-18,54,5,3,Female,Philippe
725,Isaac,Pereira,2001-12-09,52,3,0,Male,Guyot-les-Bains
726,Aimée,Delmas,1994-01-31,47,3,1,Female,Blondelboeuf
727,Honoré,Philippe,2000-09-19,100,8,3,Male,Blot-les-Bains
728,Sophie,Merle,2000-02-25,81,7,6,Female,Lemaître-sur-De Sousa
729,Paul,Baron,2004-06-13,4,4,4,Male,Moreau
730,Patricia,Bailly,2008-11-29,53,1,1,Female,Samson
731,Julien,Ferrand,2005-04-28,100,10,10,Male,Jacques
732,Marcel,Labbé,1994-10-19,60,5,0,Male,Guyon
733,Marc,Guillon,2008-06-06,71,5,1,Male,Nicolas
734,Valentine,Dupuis,1995-08-03,24,0,0,Female,Poulain-les-Bains
735,Alain,Morin,1994-12-31,12,1,1,Male,Jacob
736,Olivie,Perrier,1999-05-04,97,10,4,Female,Camus
737,Hélène,Renard,2007-12-13,34,9,7,Female,Fernandez
738,Noël,Morel,1995-05-25,68,4,4,Male,Saint SophieVille
739,Margaux,Ferrand,1993-12-25,63,9,3,Female,DeschampsVille
740,Bertrand,Normand,2003-08-10,72,1,1,Male,Hubert-sur-Fischer
741,Suzanne,Vincent,1995-02-05,19,9,7,Female,Saint Alfred
742,Diane,Bruneau,2003-05-20,92,7,4,Female,Legros
743,Adrien,Auger,2003-07-11,84,4,3,Male,Saint Alfred-sur-Mer
744,Manon,Delmas,1996-02-14,13,1,1,Female,Martin
745,Céline,Antoine,2009-01-20,25,2,1,Female,GrégoireVille
746,Sabine,Martins,2001-09-22,13,2,0,Female,Charriernec
747,Isaac,Durand,2000-03-22,13,10,9,Male,Pires
748,Maggie,Daniel,2004-09-07,28,9,5,Female,Barbeboeuf
749,Astrid,Dupont,2006-04-18,63,6,0,Female,Riou
750,Hélène,Maréchal,2006-09-16,39,6,6,Female,Boulay
751,Margaret,Delannoy,1994-05-26,22,0,0,Female,Lacombe
752,Martin,Bouvier,1995-05-04,92,9,2,Male,Lebon
753,Zacharie,Grenier,2003-05-28,7,1,0,Male,Charles
754,Joséphine,Richard,2008-10-02,41,3,1,Female,Courtois-sur-Bourgeois
755,Margaret,Carpentier,2007-10-31,58,10,2,Female,Rémy
756,Alphonse,Julien,2004-08-13,54,8,5,Male,Lemoine
757,Noémi,Vallet,2001-04-23,44,4,0,Female,Marie
758,Émilie,Rodriguez,2004-09-10,72,0,0,Female,Guillou
759,Guillaume,Huet,1996-04-10,57,9,9,Male,Sainte Honoré
760,Monique,Clerc,2005-02-19,44,3,0,Female,Saint Mathildenec
761,Théophile,Albert,1995-01-19,17,7,4,Male,Robert
762,Alain,Peron,2003-04-16,43,0,0,Male,Sainte Marc
763,Alfred,Hubert,1993-06-17,57,8,5,Male,Perret-sur-Rodrigues
764,Virginie,Turpin,2006-10-18,84,10,9,Female,Saint Adélaïde-les-Bains
765,Alexandrie,Richard,1993-08-10,81,6,5,Female,Letelliernec
766,Jeannine,Bourgeois,1995-09-22,77,6,5,Female,Gilles
767,Dorothée,Thibault,1999-07-16,63,9,7,Female,Joubert-la-Forêt
768,Daniel,Valentin,1994-12-21,83,9,2,Male,Blanc
769,Laure,Le Gall,2001-06-29,15,1,1,Female,Laurent
770,François,Guichard,2007-11-07,59,10,9,Male,LemoineBourg
771,Xavier,Petitjean,2007-08-20,95,10,1,Male,Gomes-sur-Mer
772,Marcel,Petit,1993-02-21,79,2,0,Male,Sainte JosephBourg
