id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender,city,age
645,Едита,Таран,1993-07-29,42.0,5,5,Female,Почаїв,30.585895455895674
647,Юстина,Вакарчук,1998-09-29,94.0,10,1,Female,Сквира,25.413292716169646
652,Ірена,Гаєвський,1995-11-13,20.0,10,5,Female,Корсунь-Шевченківський,28.29274477096417
656,Варвара,Носаченко,2004-10-17,55.0,0,0,Female,Старобільськ,19.358498195621703
664,Василина,Філіпенко,1997-12-10,39.0,9,7,Female,Рогатин,26.216032442197044
665,Надія,Гречаник,1999-05-29,4.0,0,0,Female,Шепетівка,24.750279017539512
666,Володимира,Сиротенко,1994-09-10,31.0,3,1,Female,Вугледар,29.468087236717594
668,Юстина,Демʼяненко,1994-11-10,79.0,8,7,Female,Мостиська,29.30096394904636
669,Сніжана,Пилипенко,2004-12-28,1.0,10,7,Female,Боково-Хрустальне,19.1612379216491
670,Святослава,Сич,1993-05-18,40.0,4,2,Female,Токмак,30.783155729868277
671,Галина,Колесниченко,2000-07-08,45.0,9,2,Female,Світлодарськ,23.637950250416225
673,Одарка,Баранник,2000-04-09,36.0,4,0,Female,Монастирище,23.884525592881975
675,Одарка,Чередник,1997-06-01,51.0,8,1,Female,Вуглегірськ,26.74205983945732
676,Клавдія,Даниленко,2003-09-07,15.0,2,0,Female,Коломия,20.47082696274499
678,Орина,Негода,1993-05-26,33.0,6,4,Female,Буринь,30.7612379216491
682,Ганна,Ребрик,1995-01-22,83.0,6,3,Female,Берислав,29.10096394904636
683,Лариса,Гоголь,1998-05-15,69.0,8,4,Female,Олександрівськ,25.788635181923073
685,Орися,Непорожній,1999-03-01,78.0,9,9,Female,Полтава,24.994114633977865
687,Оксана,Рябовіл,2004-02-23,58.0,1,0,Female,Устилуг,20.00781326411485
689,Ірина,Терещенко,1998-08-07,93.0,3,0,Female,Чистякове,25.558498195621702
691,Оксенія,Масляк,1997-01-03,55.0,5,4,Female,Баштанка,27.15027901753951
693,Дарина,Данильчук,2006-08-23,16.0,4,0,Female,Авдіївка,17.50918312712855
695,Лілія,Жученко,2002-08-04,9.0,6,2,Female,Середина-Буда,21.5639776476765
700,Алла,Шаблій,2000-04-24,66.0,1,1,Female,Верхівцеве,23.843429702471017
701,Ярина,Бабійчук,2006-05-04,43.0,9,5,Female,Надвірна,17.81329271616965
714,Варвара,Шеремет,1995-07-01,56.0,7,6,Female,Березань ,28.6626077846628
715,Роксолана,Вітрук,2001-04-10,44.0,9,4,Female,Гнівань,22.881785866854578
718,Анжела,Іванченко,1999-06-09,40.0,3,2,Female,Коломия,24.72014203123814
719,Варвара,Аврамчук,1993-09-08,95.0,5,3,Female,Марганець ,30.473566688772387
721,Олена,Філіпенко,2007-04-10,5.0,10,9,Female,Герца,16.87904614082718
722,Ольга,Медведенко,1994-08-20,84.0,10,3,Female,Червоносів,29.525621483292934
723,Світлана,Авраменко,1997-05-03,39.0,6,0,Female,Баштанка,26.821511894251838
725,Марія,Гайдай,1997-11-27,61.0,7,6,Female,Вінниця,26.25164888055321
729,Маруся,Сацюк,1995-10-18,34.0,9,2,Female,Донецьк,28.363977647676496
730,Софія,Павлик,2008-10-12,56.0,9,5,Female,Перечин,15.369457099731292
733,Орися,Негода,1998-12-04,29.0,3,3,Female,Очаків,25.23247079836143
735,Еріка,Малик,2000-03-06,60.0,4,1,Female,Світлодарськ,23.977676277813483
739,Ірена,Кириленко,2006-07-09,20.0,9,3,Female,Великі Мости,17.632470798361428
741,Марта,Жаліло,1995-12-04,46.0,9,5,Female,Амвросіївка,28.235210524388826
744,Розалія,Дергач,2004-03-27,47.0,0,0,Female,Балаклія,19.917402305210743
747,Ганна,Корсун,2003-08-03,38.0,1,1,Female,Бурштин ,20.566717373703895
749,Наталія,Чубай,1997-02-14,4.0,1,1,Female,Хорол ,27.035210524388827
751,Галина,Назаренко,2006-10-11,92.0,4,4,Female,Узин,17.374936551786085
754,Альбіна,Ґоляш,2003-08-06,40.0,8,2,Female,Покров,20.558498195621702
755,Сніжана,Баштан,1995-10-14,38.0,5,4,Female,Верхівцеве,28.374936551786085
763,Любов,Ткаченко,1995-09-12,61.0,8,8,Female,Харків,28.462607784662797
765,Едита,Засядько,2004-12-03,38.0,1,1,Female,Корюківка,19.22973107233403
766,Алла,Товстоліс,1994-08-11,10.0,7,3,Female,Валки ,29.55027901753951
769,Аніта,Бгиденко,2002-12-07,73.0,1,1,Female,Берегове,21.22151189425184
773,Ада,Девдюк,2001-09-18,76.0,1,0,Female,Красноград,22.440689976443622
778,Оксана,Шухевич,1998-08-22,41.0,9,4,Female,Дергачі,25.517402305210744
780,Емілія,Щербань,1995-02-06,93.0,4,0,Female,Міусинськ,29.059868058635402
781,Клавдія,Андрійчук,1995-05-02,86.0,3,2,Female,Дрогобич,28.826991346306635
782,Данна,Журба,2005-08-06,56.0,1,1,Female,Очаків,18.555758469594306
783,Еріка,Москаль,1995-05-02,63.0,0,0,Female,Вугледар,28.826991346306635
785,Ада,Туркало,2000-09-03,21.0,9,1,Female,Кролевець,23.48178586685458
786,Юстина,Примаченко,2008-05-02,15.0,0,0,Female,Довжанськ,15.816032442197045
788,Камілла,Ільєнко,2007-04-18,61.0,1,1,Female,Новий Калинів,16.857128332608003
791,Тереза,Червоненко,1997-03-17,32.0,8,3,Female,Інкерман,26.95027901753951
792,Юстина,Влох,2006-01-26,78.0,6,3,Female,Новоселиця,18.081785866854577
795,Марина,Яремко,1993-09-14,67.0,5,1,Female,Буськ,30.457128332608004
796,Амалія,Литвин,2007-05-02,36.0,3,1,Female,Буринь,16.81877216822444
797,Соломія,Василашко,1996-02-17,11.0,3,1,Female,Рожище,28.02973107233403
798,Валентина,Корпанюк,1998-01-20,97.0,2,2,Female,Сніжне,26.103703675073756
800,Камілла,Матяш,1994-08-01,16.0,6,0,Female,Іршава,29.577676277813485
802,Єлисавета,Дацюк,2003-08-10,5.0,9,9,Female,Шахтарськ,20.547539291512113
804,Варвара,Годунок,2001-11-08,54.0,1,0,Female,Миронівка,22.30096394904636
805,Галина,Малишко,2007-09-30,71.0,5,3,Female,Географія Вільнянська,16.405073538087457
808,Соломія,Аверченко,1994-09-30,2.0,1,1,Female,Лубни,29.413292716169646
810,Клавдія,Вернидуб,2003-06-29,45.0,4,1,Female,Бахчисарай,20.6626077846628
812,Вікторія,Ісаєвич,2001-09-13,12.0,1,1,Female,Винники,22.454388606580608
814,Богуслава,Чайка,1994-09-12,13.0,2,2,Female,Кременчук,29.462607784662797
815,Аніта,Заруба,2003-08-20,75.0,6,3,Female,Бахчисарай,20.52014203123814
816,Марина,Михайлюк,2004-12-12,19.0,7,4,Female,Оріхів,19.205073538087454
817,Златослава,Макаренко,1999-02-24,88.0,1,1,Female,Овруч,25.00781326411485
821,Тереза,Базилевич,1995-10-01,24.0,5,0,Female,Вараш,28.41055299014225
822,Єва,Дубенко,1993-03-05,90.0,9,9,Female,Старий Самбір,30.985895455895676
824,Надія,Іващенко,2000-02-18,91.0,0,0,Female,Бердянськ,24.024251620279237
829,Камілла,Терещенко,2007-07-02,71.0,9,8,Female,Стрий,16.65164888055321
830,Марʼяна,Козаченко,1996-08-30,26.0,0,0,Female,Новий Розділ,27.495484496991565
832,Алла,Корсун,1997-03-14,24.0,2,1,Female,Нова Каховка,26.9584981956217
833,Ліза,Сомко,1993-06-06,81.0,2,1,Female,Балаклія,30.73110093534773
834,Вікторія,Рябець,2006-09-13,33.0,8,0,Female,Бахчисарай,17.451648880553208
835,Анжела,Даньків,2007-04-23,50.0,10,1,Female,Авдіївка,16.843429702471017
837,Валентина,Романенко,1995-12-16,33.0,0,0,Female,Мостиська,28.202333812060058
841,Тетяна,Гайдай,1996-02-10,71.0,8,5,Female,Залізне,28.048909154525813
844,Ольга,Кабаненко,1995-04-13,33.0,1,0,Female,Пустомити,28.87904614082718
846,Данна,Величко,2008-04-12,48.0,4,3,Female,Тлумач,15.87082696274499
847,Наталія,Вернигора,2001-04-05,57.0,9,8,Female,Буча,22.895484496991564
852,Ольга,Акименко,2007-12-10,52.0,8,6,Female,Виноградів,16.21055299014225
853,Марʼяна,Токар,2002-07-30,91.0,1,1,Female,Родинське,21.577676277813485
856,Марʼяна,Петрик,2007-11-14,27.0,4,2,Female,Васильків,16.28178586685458
857,Марʼяна,Мірошниченко,1993-12-01,84.0,4,4,Female,Городенка,30.24342970247102
860,Ольга,Хомик,2002-12-11,96.0,8,1,Female,Ківерці,21.21055299014225
861,Ада,Асаула,1994-01-11,74.0,9,6,Female,Костянтинівка,30.131100935347728
863,Тетяна,Хмара,2007-04-18,33.0,3,3,Female,Коростишів,16.857128332608003
864,Алла,Товстуха,1996-05-25,32.0,10,8,Female,Волочиськ,27.7612379216491
867,Ада,Ґерус,2002-01-08,11.0,1,1,Female,Ніжин,22.133840661375128
874,Володимира,Чубай,1997-06-03,88.0,5,3,Female,Старокостянтинів,26.736580387402526
876,Любов,Бабійчук,1997-05-07,54.0,7,7,Female,Дебальцеве,26.81055299014225
877,Варвара,Годунок,1999-12-01,90.0,5,5,Female,Ладижин,24.24068997644362
878,Данна,Рудик,1995-11-09,63.0,2,0,Female,Святогірськ,28.303703675073756
879,Пріска,Дараган,2001-06-02,85.0,9,5,Female,Армянськ,22.736580387402526
882,Мілена,Каденюк,2006-07-14,13.0,9,3,Female,Підгайці,17.618772168224442
883,Алла,Панчук,1997-09-20,12.0,3,3,Female,Шпола,26.437950250416222
884,Єва,Дергач,2002-05-16,5.0,8,6,Female,Дебальцеве,21.783155729868277
886,Данна,Терещенко,2002-03-05,98.0,5,1,Female,Олександрівськ,21.98041600384088
888,Ірена,Арсенич,2006-09-07,10.0,2,1,Female,Новогродівка,17.468087236717594
890,Марина,Самойленко,2002-11-15,44.0,1,1,Female,Славутич,21.28178586685458
891,Ярослава,Пʼятаченко,1995-02-06,1.0,5,0,Female,Часів Яр,29.059868058635402
893,Емілія,Зарудний,2008-05-05,41.0,10,4,Female,Золочів,15.807813264114854
897,Ярина,Сомко,2002-08-30,54.0,9,9,Female,Острог,21.49274477096417
898,Марта,Гаврюшенко,1999-02-24,28.0,7,0,Female,Сколе,25.00781326411485
900,Маруся,Василечко,2008-10-03,61.0,8,8,Female,Долина ,15.394114633977868
902,Ірина,Тесля,2008-08-28,19.0,4,4,Female,Ізяслав,15.492744770964169
904,Вікторія,Павличенко,1998-07-30,86.0,9,3,Female,Тернопіль,25.58041600384088
906,Віолетта,Медведенко,2006-11-06,68.0,5,1,Female,Дубровиця,17.303703675073756
907,Лариса,Філіпенко,1999-04-19,72.0,0,0,Female,Гола Пристань,24.8598680586354
911,Анастасія,Данько,2005-12-09,76.0,4,4,Female,Ужгород,18.213292716169647
912,Оксенія,Венгринович,2004-01-30,5.0,7,7,Female,Бердичів,20.073566688772388
915,Світлана,Тарасенко,2005-02-23,21.0,5,5,Female,Південне ,19.005073538087455
916,Марта,Тимченко,1999-10-03,50.0,7,5,Female,Ічня,24.402333812060057
917,Ольга,Башполченко,2000-08-31,59.0,10,9,Female,Середина-Буда,23.490005044936773
918,Дарина,Дашкевич,2000-09-24,12.0,0,0,Female,Семенівка,23.424251620279236
919,Марта,Дурдинець,2005-11-13,54.0,8,8,Female,Новояворівськ,18.284525592881977
920,Єва,Саєнко,2003-04-22,65.0,4,1,Female,Радехів,20.848909154525813
921,Анастасія,Ткач,1999-12-02,74.0,2,1,Female,Люботин,24.237950250416223
922,Марія,Вишиваний,1997-06-15,28.0,8,4,Female,Біла Церква,26.703703675073758
923,Клавдія,Бакуменко,1999-05-20,93.0,3,0,Female,Дружківка,24.774936551786087
925,Єва,Шморгун,1998-04-26,16.0,0,0,Female,Ржищів,25.84068997644362
926,Златослава,Терещук,1995-04-17,70.0,5,0,Female,Буча,28.868087236717592
927,Ірина,Франко,2002-02-27,50.0,5,4,Female,Бар,21.996854360005266
928,Маруся,Скорик,1999-02-13,78.0,6,2,Female,Костянтинівка,25.037950250416223
930,Розалія,Василечко,2005-07-01,38.0,8,2,Female,Приморськ (Україна),18.654388606580607
931,Соломія,Арсенич,2001-09-30,22.0,6,5,Female,Остер ,22.407813264114854
933,Алла,Байрак,2007-12-07,38.0,0,0,Female,Теплодар,16.218772168224444
935,Сніжана,Пелех,1994-04-10,14.0,9,2,Female,Березівка,29.887265318909375
936,Надія,Юрченко,1996-09-16,85.0,8,6,Female,Липовець,27.44890915452581
942,Ліза,Даценко,1998-01-04,67.0,10,1,Female,Ніжин,26.147539291512114
945,Любов,Єсипенко,1994-06-21,25.0,0,0,Female,Теребовля,29.690005044936772
946,Олена,Дробаха,2009-01-23,18.0,3,3,Female,Мостиська,15.087265318909374
947,Альбіна,Вергун,2005-04-19,86.0,8,8,Female,Лутугине,18.854388606580606
948,Ганна,Сагаль,2006-01-22,53.0,6,3,Female,Жидачів,18.092744770964167
952,Богуслава,Адаменко,2005-02-10,24.0,10,6,Female,Любомль,19.04068997644362
954,Надія,Сиротенко,2002-05-01,30.0,7,0,Female,Дубровиця,21.824251620279238
956,Софія,Юрчишин,2002-05-02,2.0,7,5,Female,Сарни,21.821511894251838
958,Тереза,Панчук,1998-11-24,26.0,8,5,Female,Моспине,25.2598680586354
963,Соломія,Ґерета,2000-03-04,47.0,4,4,Female,Чорноморськ,23.983155729868276
964,Дарина,Їжак,2000-02-27,65.0,7,2,Female,Угнів,23.999594086032662
972,Данна,Рубець,2003-06-20,67.0,6,1,Female,Нове Давидково,20.687265318909375
974,Анастасія,Вишиваний,1999-02-22,26.0,0,0,Female,Гірник ,25.013292716169648
975,Єва,Байдак,2004-01-31,20.0,2,2,Female,Вовчанськ,20.07082696274499
976,Василина,Матяш,2002-05-21,9.0,8,0,Female,Буськ,21.76945709973129
978,Камілла,Бебешко,1994-02-18,20.0,7,4,Female,Нова Одеса,30.026991346306634
981,Ірина,Журба,1994-03-17,55.0,7,5,Female,Гола Пристань,29.953018743566908
982,Ганна,Дзюба,2003-06-13,87.0,7,6,Female,Івано-Франківськ,20.706443401101154
983,Віолетта,Василенко,1999-07-02,77.0,2,0,Female,Голубівка,24.657128332608004
986,Ярослава,Шелест,2005-07-04,21.0,2,2,Female,Ланівці,18.646169428498414
987,Мілена,Парасюк,2001-04-07,94.0,4,0,Female,Глобине,22.89000504493677
988,Маруся,Їжакевич,1996-11-20,100.0,4,0,Female,Підгайці,27.27082696274499
989,Алла,Батюк,2000-07-13,36.0,8,3,Female,Вугледар,23.624251620279235
990,Роксолана,Голик,2000-09-27,36.0,7,5,Female,Яремче,23.416032442197046
994,Оксана,Парасюк,1993-03-27,88.0,6,5,Female,Житомир,30.925621483292936
996,Дарина,Тесля,2002-08-30,37.0,6,5,Female,Бережани,21.49274477096417
997,Амалія,Остапчук,2007-04-24,58.0,2,1,Female,Бурштин ,16.84068997644362
998,Галина,Швайка,2008-08-02,92.0,8,2,Female,Курахове,15.563977647676497
999,Світлана,Корпанюк,2002-04-30,63.0,10,6,Female,Обухів,21.826991346306635
